# DOT SELECT - PROVENANCE OF THE ADMITTED SIGNALS. NOT A SCORE AND NOT A RANKING.
# SEED=0 book_size=297 config=whole_dot_config.json sha=9bd88c5a9edd
# Every column here records WHY a signal was ADMITTED by the train-window screen. NOTHING IN THIS FILE ORDERS SIGNALS BY QUALITY: a rebuilt ranking selector lost to 12 of 12 random draws on a holdout, 297 leave-one-out runs gave split-half rho -0.060 at p=0.305, and d_events moved by zero for 212 of 297. The book is homogeneous - there is nothing to prune and nothing to rank.
# Membership is a SEEDED DRAW at a config size, which is a SIZE PARAMETER, not a ranking. The arm is reproducible from SEED and book_size alone.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,SEED,book_size,PASS_trades,PASS_train_PF,PASS_buckets,PASS_bucket_frac
Micro_Entropy:lo + Micro_MicroGap:lo + PrevDay_Low_Side:==-1,LONG,26,23,2.3694,5,4,0.8,619.4,0,297,PASS,PASS,PASS,PASS
Micro_Entropy:lo + MultiDay_Slope:hi + OR_Low_Side:==-1,LONG,12,10,2.1764,3,2,0.6667,235.4,0,297,PASS,PASS,PASS,PASS
Micro_FailedBreak:hi + Micro_PriceAccel:lo + MultiDay_Slope:hi,SHORT,15,12,2.8604,4,3,0.75,407.8,0,297,PASS,PASS,PASS,PASS
Micro_FailedBreak:hi + Micro_Rejection:lo + Volume:hi,LONG,63,57,4.2769,6,5,0.8333,3662.9,0,297,PASS,PASS,PASS,PASS
Micro_FailedBreak:hi + Micro_ThrustEff:lo + Volume:hi,LONG,22,21,5.1674,5,5,1.0,796.8,0,297,PASS,PASS,PASS,PASS
Micro_FailedBreak:hi + VWAP_Sigma_ATR:lo + VAH_Side:==0,SHORT,16,16,inf,5,5,1.0,712.7,0,297,PASS,PASS,PASS,PASS
Micro_FailedBreak:lo + Micro_HLAsymmetry:hi + AT_Regime_ST:==1,LONG,29,27,5.127,6,5,0.8333,754.0,0,297,PASS,PASS,PASS,PASS
Micro_FailedBreak:lo + Micro_Rejection:lo + Lower_Wick:hi,LONG,23,18,4.4969,6,4,0.6667,1407.5,0,297,PASS,PASS,PASS,PASS
Micro_FailedBreak:lo + Micro_VolAccel:lo + RangeOsc_State:==-1,LONG,23,19,2.9746,6,5,0.8333,699.4,0,297,PASS,PASS,PASS,PASS
Micro_FailedBreak:lo + OR_Position:lo + PrevDay_High_Side:==1,LONG,20,17,2.7374,5,4,0.8,553.2,0,297,PASS,PASS,PASS,PASS
Micro_FractalDim:hi + Micro_Hurst:hi + OR_Position:lo,LONG,17,17,inf,6,6,1.0,700.0,0,297,PASS,PASS,PASS,PASS
Micro_FractalDim:lo + Micro_MicroGap:lo + RangeOsc_State:==-1,LONG,18,16,3.9954,4,4,1.0,722.2,0,297,PASS,PASS,PASS,PASS
Micro_FractalDim:lo + WeeklyOpen_Dist_ATR:lo + RangeOsc_State:==2,LONG,43,35,3.2391,6,5,0.8333,2131.6,0,297,PASS,PASS,PASS,PASS
Micro_GarmanKlass:hi + Session_High_Dist_ATR:hi + OR_Position:hi,LONG,13,10,3.2963,3,2,0.6667,491.4,0,297,PASS,PASS,PASS,PASS
Micro_HLAsymmetry:hi + Micro_ThrustEff:lo + TChan_A15:hi,SHORT,21,20,5.4928,5,5,1.0,687.4,0,297,PASS,PASS,PASS,PASS
Micro_HLAsymmetry:lo + PrevDay_Low_Dist_ATR:lo + Session_Low_Side:==0,SHORT,15,15,inf,6,6,1.0,698.2,0,297,PASS,PASS,PASS,PASS
Micro_Hurst:hi + Micro_Lambda:hi + Micro_RangeVelocity:lo,SHORT,32,29,3.2593,6,4,0.6667,920.9,0,297,PASS,PASS,PASS,PASS
Micro_Hurst:hi + Micro_WickImbalance:lo + PrevDay_Low_Dist_ATR:hi,SHORT,12,11,3.6252,3,2,0.6667,204.5,0,297,PASS,PASS,PASS,PASS
Micro_Lambda:hi + Upper_Wick:hi + D2D_Signal:==1,LONG,45,37,3.0667,6,5,0.8333,3100.7,0,297,PASS,PASS,PASS,PASS
Micro_Lambda:lo + Micro_MicroGap:hi + RangeOsc_State:==2,SHORT,17,16,3.8791,6,5,0.8333,209.6,0,297,PASS,PASS,PASS,PASS
Micro_Lambda:lo + Micro_RollProxy:hi + PrevDay_Close_Dist_ATR:hi,LONG,19,18,5.0129,4,4,1.0,435.8,0,297,PASS,PASS,PASS,PASS
Micro_Lambda:lo + Micro_RollProxy:hi + Session_Low_Dist_ATR:lo,LONG,26,23,2.4563,6,5,0.8333,675.3,0,297,PASS,PASS,PASS,PASS
Micro_LogReturn:hi + Micro_ThrustEff:lo + Micro_WickImbalance:lo,SHORT,42,37,2.6375,6,5,0.8333,888.0,0,297,PASS,PASS,PASS,PASS
Micro_LogReturn:hi + Micro_VPIN:lo + D2D_DirStep:==-1,LONG,50,46,3.717,6,6,1.0,1739.4,0,297,PASS,PASS,PASS,PASS
